k,lift,K_power_m,rank,lambda_real,lambda_imag,abs_lambda,arg_lambda
4,uniform_A,1,1,0.9999999999999994,0.0,0.9999999999999994,0.0
4,uniform_A,1,2,-2.9456608627141107e-05,0.0,2.9456608627141107e-05,3.141592653589793
4,uniform_A,1,3,1.8392591849306284e-08,-2.9438260507305494e-05,2.9438266253015263e-05,-1.5701715415956652
4,uniform_A,1,4,1.8392591849306284e-08,2.9438260507305494e-05,2.9438266253015263e-05,1.5701715415956652
4,uniform_A,1,5,2.9419823185029006e-05,0.0,2.9419823185029006e-05,0.0
4,uniform_A,1,6,3.6942757584025646e-06,0.0,3.6942757584025646e-06,0.0
4,uniform_A,1,7,-1.8471377687238668e-06,3.199114304580025e-06,3.694083143408486e-06,2.0944251720235383
4,uniform_A,1,8,-1.8471377687238668e-06,-3.199114304580025e-06,3.694083143408486e-06,-2.0944251720235383
4,uniform_A,1,9,1.2004755835234514e-06,3.8173241134245635e-07,1.2597068152968362e-06,0.3078734285271465
4,uniform_A,1,10,1.2004755835234514e-06,-3.8173241134245635e-07,1.2597068152968362e-06,-0.3078734285271465
4,uniform_A,2,1,1.0,0.0,1.0,0.0
4,uniform_A,2,2,4.2271643364018165e-09,0.0,4.2271643364018165e-09,0.0
4,uniform_A,2,3,-4.227164325895324e-09,0.0,4.227164325895324e-09,3.141592653589793
4,uniform_A,2,4,5.964718112375452e-10,2.5723976228830943e-09,2.6406454044069587e-09,1.3429489391157845
4,uniform_A,2,5,5.964718112375452e-10,-2.5723976228830943e-09,2.6406454044069587e-09,-1.3429489391157845
4,uniform_A,2,6,-5.964717151041094e-10,-2.572397612685437e-09,2.6406453727581397e-09,-1.7986436798819354
4,uniform_A,2,7,-5.964717151041094e-10,2.572397612685437e-09,2.6406453727581397e-09,1.7986436798819354
4,uniform_A,2,8,6.931496287191419e-17,1.0024882525673587e-09,1.002488252567361e-09,1.5707962576519787
4,uniform_A,2,9,6.931496287191419e-17,-1.0024882525673587e-09,1.002488252567361e-09,-1.5707962576519787
4,uniform_A,2,10,2.1245988089720227e-10,0.0,2.1245988089720227e-10,0.0
4,conditional_B,1,1,0.9999999999999999,0.0,0.9999999999999999,0.0
4,conditional_B,1,2,3.0058432011609844e-05,3.007437882497727e-05,4.252031980953122e-05,0.7856633566051453
4,conditional_B,1,3,3.0058432011609844e-05,-3.007437882497727e-05,4.252031980953122e-05,-0.7856633566051453
4,conditional_B,1,4,-3.0058432056344334e-05,3.0042448095717136e-05,4.249774141374723e-05,2.356460442374907
4,conditional_B,1,5,-3.0058432056344334e-05,-3.0042448095717136e-05,4.249774141374723e-05,-2.356460442374907
4,conditional_B,1,6,-1.8995436062186554e-06,3.2903615282605787e-06,3.799308476365596e-06,2.0943614790247724
4,conditional_B,1,7,-1.8995436062186554e-06,-3.2903615282605787e-06,3.799308476365596e-06,-2.0943614790247724
4,conditional_B,1,8,3.7990873027225276e-06,0.0,3.7990873027225276e-06,0.0
4,conditional_B,1,9,9.766037495816775e-07,1.69154832457263e-06,1.953225695627995e-06,1.0472029298466277
4,conditional_B,1,10,9.766037495816775e-07,-1.69154832457263e-06,1.953225695627995e-06,-1.0472029298466277
4,conditional_B,2,1,0.9999999999999996,0.0,0.9999999999999996,0.0
4,conditional_B,2,2,2.9195888115843054e-09,0.0,2.9195888115843054e-09,0.0
4,conditional_B,2,3,-2.9195887479977107e-09,0.0,2.9195887479977107e-09,3.141592653589793
4,conditional_B,2,4,-1.2465504769845946e-09,2.451855007373712e-09,2.7505419591153427e-09,2.0411502091829723
